,work_year,experience_level,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,SFC_Salary,SFC_Remote_Ratio,salary_bin,cotract,free_lance,full_time,part_time
0,2020,MI,Data Scientist,70000.0,EUR,79833.0,DE,0.0,DE,L,0.133055,0.0,Low,0,0,1,0
1,2020,SE,Machine Learning Scientist,260000.0,USD,260000.0,JP,0.0,JP,S,0.43333333333333335,0.0,Medium,0,0,1,0
2,2020,SE,Big Data Engineer,85000.0,GBP,109024.0,GB,50.0,GB,M,0.18170666666666666,0.5,Low,0,0,1,0
3,2020,MI,Product Data Analyst,20000.0,USD,20000.0,HN,0.0,HN,S,0.03333333333333333,0.0,Low,0,0,1,0
4,2020,SE,Machine Learning Engineer,150000.0,USD,150000.0,US,50.0,US,L,0.25,0.5,Low,0,0,1,0
5,2020,EN,Data Analyst,72000.0,USD,72000.0,US,100.0,US,L,0.12,1.0,Low,0,0,1,0
6,2020,SE,Lead Data Scientist,190000.0,USD,190000.0,US,100.0,US,S,0.31666666666666665,1.0,Medium,0,0,1,0
7,2020,MI,Data Scientist,11000000.0,HUF,35735.0,HU,50.0,HU,L,0.05955833333333333,0.5,Low,0,0,1,0
8,2020,MI,Business Data Analyst,135000.0,USD,135000.0,US,100.0,US,L,0.225,1.0,Low,0,0,1,0
9,2020,SE,Lead Data Engineer,125000.0,USD,125000.0,NZ,50.0,NZ,S,0.20833333333333334,0.5,Low,0,0,1,0
10,2020,EN,Data Scientist,45000.0,EUR,51321.0,FR,0.0,FR,S,0.085535,0.0,Low,0,0,1,0
11,2020,MI,Data Scientist,3000000.0,INR,40481.0,IN,0.0,IN,L,0.06746833333333334,0.0,Low,0,0,1,0
12,2020,EN,Data Scientist,35000.0,EUR,39916.0,FR,0.0,FR,M,0.06652666666666666,0.0,Low,0,0,1,0
13,2020,MI,Lead Data Analyst,87000.0,USD,87000.0,US,100.0,US,L,0.145,1.0,Low,0,0,1,0
14,2020,MI,Data Analyst,85000.0,USD,85000.0,US,100.0,US,L,0.14166666666666666,1.0,Low,0,0,1,0
15,2020,MI,Data Analyst,8000.0,USD,8000.0,PK,50.0,PK,L,0.013333333333333334,0.5,Low,0,0,1,0
16,2020,EN,Data Engineer,4450000.0,JPY,41689.0,JP,100.0,JP,S,0.06948166666666666,1.0,Low,0,0,1,0
17,2020,SE,Big Data Engineer,100000.0,EUR,114047.0,PL,100.0,GB,S,0.19007833333333332,1.0,Low,0,0,1,0
18,2020,EN,Data Science Consultant,423000.0,INR,5707.0,IN,50.0,IN,M,0.009511666666666667,0.5,Low,0,0,1,0
19,2020,MI,Lead Data Engineer,56000.0,USD,56000.0,PT,100.0,US,M,0.09333333333333334,1.0,Low,0,0,1,0
20,2020,MI,Machine Learning Engineer,299000.0,CNY,43331.0,CN,0.0,CN,M,0.07221833333333333,0.0,Low,0,0,1,0
21,2020,MI,Product Data Analyst,450000.0,INR,6072.0,IN,100.0,IN,L,0.01012,1.0,Low,0,0,1,0
22,2020,SE,Data Engineer,42000.0,EUR,47899.0,GR,50.0,GR,L,0.07983166666666666,0.5,Low,0,0,1,0
23,2020,MI,BI Data Analyst,98000.0,USD,98000.0,US,0.0,US,M,0.16333333333333333,0.0,Low,0,0,1,0
24,2020,MI,Lead Data Scientist,115000.0,USD,115000.0,AE,0.0,AE,L,0.19166666666666668,0.0,Low,0,0,1,0
25,2020,EX,Director of Data Science,325000.0,USD,325000.0,US,100.0,US,L,0.5416666666666666,1.0,High,0,0,1,0
26,2020,EN,Research Scientist,42000.0,USD,42000.0,NL,50.0,NL,L,0.07,0.5,Low,0,0,1,0
27,2020,SE,Data Engineer,720000.0,MXN,33511.0,MX,0.0,MX,S,0.05585166666666667,0.0,Low,0,0,1,0
28,2020,EN,Business Data Analyst,100000.0,USD,100000.0,US,100.0,US,L,0.16666666666666666,1.0,Low,1,0,0,0
29,2020,SE,Machine Learning Manager,157000.0,CAD,117104.0,CA,50.0,CA,L,0.19517333333333334,0.5,Low,0,0,1,0
30,2020,MI,Data Engineering Manager,51999.0,EUR,59303.0,DE,100.0,DE,S,0.09883833333333333,1.0,Low,0,0,1,0
31,2020,EN,Big Data Engineer,70000.0,USD,70000.0,US,100.0,US,L,0.11666666666666667,1.0,Low,0,0,1,0
32,2020,SE,Data Scientist,60000.0,EUR,68428.0,GR,100.0,US,L,0.11404666666666667,1.0,Low,0,0,1,0
33,2020,MI,Research Scientist,450000.0,USD,450000.0,US,0.0,US,M,0.75,0.0,High,0,0,1,0
34,2020,MI,Data Analyst,41000.0,EUR,46759.0,FR,50.0,FR,L,0.07793166666666666,0.5,Low,0,0,1,0
35,2020,MI,Data Engineer,65000.0,EUR,74130.0,AT,50.0,AT,L,0.12355,0.5,Low,0,0,1,0
36,2020,MI,Data Science Consultant,103000.0,USD,103000.0,US,100.0,US,L,0.17166666666666666,1.0,Low,0,0,1,0
37,2020,EN,Machine Learning Engineer,250000.0,USD,250000.0,US,50.0,US,L,0.4166666666666667,0.5,Medium,0,0,1,0
38,2020,EN,Data Analyst,10000.0,USD,10000.0,NG,100.0,NG,S,0.016666666666666666,1.0,Low,0,0,1,0
39,2020,EN,Machine Learning Engineer,138000.0,USD,138000.0,US,100.0,US,S,0.23,1.0,Low,0,0,1,0
40,2020,MI,Data Scientist,45760.0,USD,45760.0,PH,100.0,US,S,0.07626666666666666,1.0,Low,0,0,1,0
41,2020,EX,Data Engineering Manager,70000.0,EUR,79833.0,ES,50.0,ES,L,0.133055,0.5,Low,0,0,1,0
42,2020,MI,Machine Learning Infrastructure Engineer,44000.0,EUR,50180.0,PT,0.0,PT,M,0.08363333333333334,0.0,Low,0,0,1,0
43,2020,MI,Data Engineer,106000.0,USD,106000.0,US,100.0,US,L,0.17666666666666667,1.0,Low,0,0,1,0
44,2020,MI,Data Engineer,88000.0,GBP,112872.0,GB,50.0,GB,L,0.18812,0.5,Low,0,0,1,0
45,2020,EN,ML Engineer,14000.0,EUR,15966.0,DE,100.0,DE,S,0.02661,1.0,Low,0,0,0,1
46,2020,MI,Data Scientist,60000.0,GBP,76958.0,GB,100.0,GB,S,0.12826333333333334,1.0,Low,0,0,1,0
47,2020,SE,Data Engineer,188000.0,USD,188000.0,US,100.0,US,L,0.31333333333333335,1.0,Medium,0,0,1,0
48,2020,MI,Data Scientist,105000.0,USD,105000.0,US,100.0,US,L,0.175,1.0,Low,0,0,1,0
49,2020,MI,Data Engineer,61500.0,EUR,70139.0,FR,50.0,FR,L,0.11689833333333334,0.5,Low,0,0,1,0
50,2020,EN,Data Analyst,450000.0,INR,6072.0,IN,0.0,IN,S,0.01012,0.0,Low,0,0,1,0
51,2020,EN,Data Analyst,91000.0,USD,91000.0,US,100.0,US,L,0.15166666666666667,1.0,Low,0,0,1,0
52,2020,EN,AI Scientist,300000.0,DKK,45896.0,DK,50.0,DK,S,0.07649333333333333,0.5,Low,0,0,1,0
53,2020,EN,Data Engineer,48000.0,EUR,54742.0,PK,100.0,DE,L,0.09123666666666666,1.0,Low,0,0,1,0
54,2020,SE,Computer Vision Engineer,60000.0,USD,60000.0,RU,100.0,US,S,0.1,1.0,Low,0,1,0,0
55,2020,SE,Principal Data Scientist,130000.0,EUR,148261.0,DE,100.0,DE,M,0.24710166666666666,1.0,Low,0,0,1,0
56,2020,MI,Data Scientist,34000.0,EUR,38776.0,ES,100.0,ES,M,0.06462666666666667,1.0,Low,0,0,1,0
57,2020,MI,Data Scientist,118000.0,USD,118000.0,US,100.0,US,M,0.19666666666666666,1.0,Low,0,0,1,0
58,2020,SE,Data Scientist,120000.0,USD,120000.0,US,50.0,US,L,0.2,0.5,Low,0,0,1,0
59,2020,MI,Data Scientist,138350.0,USD,138350.0,US,100.0,US,M,0.23058333333333333,1.0,Low,0,0,1,0
60,2020,MI,Data Engineer,110000.0,USD,110000.0,US,100.0,US,L,0.18333333333333332,1.0,Low,0,0,1,0
61,2020,MI,Data Engineer,130800.0,USD,130800.0,ES,100.0,US,M,0.218,1.0,Low,0,0,1,0
62,2020,EN,Data Scientist,19000.0,EUR,21669.0,IT,50.0,IT,S,0.036115,0.5,Low,0,0,0,1
63,2020,SE,Data Scientist,412000.0,USD,412000.0,US,100.0,US,L,0.6866666666666666,1.0,High,0,0,1,0
64,2020,SE,Machine Learning Engineer,40000.0,EUR,45618.0,HR,100.0,HR,S,0.07603,1.0,Low,0,0,1,0
65,2020,EN,Data Scientist,55000.0,EUR,62726.0,DE,50.0,DE,S,0.10454333333333334,0.5,Low,0,0,1,0
66,2020,EN,Data Scientist,43200.0,EUR,49268.0,DE,0.0,DE,S,0.08211333333333333,0.0,Low,0,0,1,0
67,2020,SE,Data Science Manager,190200.0,USD,190200.0,US,100.0,US,M,0.317,1.0,Medium,0,0,1,0
68,2020,EN,Data Scientist,105000.0,USD,105000.0,US,100.0,US,S,0.175,1.0,Low,0,0,1,0
69,2020,SE,Data Scientist,80000.0,EUR,91237.0,AT,0.0,AT,S,0.15206166666666668,0.0,Low,0,0,1,0
70,2020,MI,Data Scientist,55000.0,EUR,62726.0,FR,50.0,LU,S,0.10454333333333334,0.5,Low,0,0,1,0
71,2020,MI,Data Scientist,37000.0,EUR,42197.0,FR,50.0,FR,S,0.07032833333333334,0.5,Low,0,0,1,0
72,2021,EN,Research Scientist,60000.0,GBP,82528.0,GB,50.0,GB,L,0.13754666666666668,0.5,Low,0,0,1,0
73,2021,EX,BI Data Analyst,150000.0,USD,150000.0,IN,100.0,US,L,0.25,1.0,Low,0,0,1,0
74,2021,EX,Head of Data,235000.0,USD,235000.0,US,100.0,US,L,0.39166666666666666,1.0,Medium,0,0,1,0
75,2021,SE,Data Scientist,45000.0,EUR,53192.0,FR,50.0,FR,L,0.08865333333333333,0.5,Low,0,0,1,0
76,2021,MI,BI Data Analyst,100000.0,USD,100000.0,US,100.0,US,M,0.16666666666666666,1.0,Low,0,0,1,0
77,2021,MI,3D Computer Vision Researcher,400000.0,INR,5409.0,IN,50.0,IN,M,0.009015,0.5,Low,0,0,0,1
78,2021,MI,ML Engineer,270000.0,USD,270000.0,US,100.0,US,L,0.45,1.0,Medium,1,0,0,0
79,2021,EN,Data Analyst,80000.0,USD,80000.0,US,100.0,US,M,0.13333333333333333,1.0,Low,0,0,1,0
80,2021,SE,Data Analytics Engineer,67000.0,EUR,79197.0,DE,100.0,DE,L,0.131995,1.0,Low,0,0,1,0
81,2021,MI,Data Engineer,140000.0,USD,140000.0,US,100.0,US,L,0.23333333333333334,1.0,Low,0,0,1,0
82,2021,MI,Applied Data Scientist,68000.0,CAD,54238.0,GB,50.0,CA,L,0.09039666666666667,0.5,Low,0,0,1,0
83,2021,MI,Machine Learning Engineer,40000.0,EUR,47282.0,ES,100.0,ES,S,0.07880333333333334,1.0,Low,0,0,1,0
84,2021,EX,Director of Data Science,130000.0,EUR,153667.0,IT,100.0,PL,L,0.2561116666666667,1.0,Medium,0,0,1,0
85,2021,MI,Data Engineer,110000.0,PLN,28476.0,PL,100.0,PL,L,0.04746,1.0,Low,0,0,1,0
